,Date,India
0,2020-01-22,0
1,2020-01-23,0
2,2020-01-24,0
3,2020-01-25,0
4,2020-01-26,0
5,2020-01-27,0
6,2020-01-28,0
7,2020-01-29,0
8,2020-01-30,1
9,2020-01-31,1
10,2020-02-01,1
11,2020-02-02,2
12,2020-02-03,3
13,2020-02-04,3
14,2020-02-05,3
15,2020-02-06,3
16,2020-02-07,3
17,2020-02-08,3
18,2020-02-09,3
19,2020-02-10,3
20,2020-02-11,3
21,2020-02-12,3
22,2020-02-13,3
23,2020-02-14,3
24,2020-02-15,3
25,2020-02-16,3
26,2020-02-17,3
27,2020-02-18,3
28,2020-02-19,3
29,2020-02-20,3
30,2020-02-21,3
31,2020-02-22,3
32,2020-02-23,3
33,2020-02-24,3
34,2020-02-25,3
35,2020-02-26,3
36,2020-02-27,3
37,2020-02-28,3
38,2020-02-29,3
39,2020-03-01,3
40,2020-03-02,5
41,2020-03-03,5
42,2020-03-04,28
43,2020-03-05,30
44,2020-03-06,31
45,2020-03-07,34
46,2020-03-08,39
47,2020-03-09,43
48,2020-03-10,56
49,2020-03-11,62
50,2020-03-12,73
51,2020-03-13,82
52,2020-03-14,102
53,2020-03-15,113
54,2020-03-16,119
55,2020-03-17,142
56,2020-03-18,156
57,2020-03-19,194
58,2020-03-20,244
59,2020-03-21,330
60,2020-03-22,396
61,2020-03-23,499
62,2020-03-24,536
63,2020-03-25,657
64,2020-03-26,727
65,2020-03-27,887
66,2020-03-28,987
67,2020-03-29,1024
68,2020-03-30,1251
69,2020-03-31,1397
70,2020-04-01,1998
71,2020-04-02,2543
72,2020-04-03,2567
73,2020-04-04,3082
74,2020-04-05,3588
75,2020-04-06,4778
76,2020-04-07,5311
77,2020-04-08,5916
78,2020-04-09,6725
79,2020-04-10,7598
80,2020-04-11,8446
81,2020-04-12,9205
82,2020-04-13,10453
83,2020-04-14,11487
84,2020-04-15,12322
85,2020-04-16,13430
86,2020-04-17,14352
87,2020-04-18,15722
88,2020-04-19,17615
89,2020-04-20,18539
90,2020-04-21,20080
91,2020-04-22,21370
92,2020-04-23,23077
93,2020-04-24,24530
94,2020-04-25,26283
95,2020-04-26,27890
96,2020-04-27,29451
97,2020-04-28,31324
98,2020-04-29,33062
99,2020-04-30,34863
100,2020-05-01,37257
101,2020-05-02,39699
102,2020-05-03,42505
103,2020-05-04,46437
104,2020-05-05,49400
105,2020-05-06,52987
106,2020-05-07,56351
107,2020-05-08,59695
108,2020-05-09,62808
109,2020-05-10,67161
110,2020-05-11,70768
111,2020-05-12,74292
112,2020-05-13,78055
113,2020-05-14,81997
114,2020-05-15,85784
115,2020-05-16,90648
116,2020-05-17,95698
117,2020-05-18,100328
118,2020-05-19,106475
119,2020-05-20,112028
120,2020-05-21,118226
121,2020-05-22,124794
122,2020-05-23,131423
123,2020-05-24,138536
124,2020-05-25,144950
125,2020-05-26,150793
126,2020-05-27,158086
127,2020-05-28,165386
128,2020-05-29,173491
129,2020-05-30,181827
130,2020-05-31,190609
131,2020-06-01,198370
132,2020-06-02,207191
133,2020-06-03,216824
134,2020-06-04,226713
135,2020-06-05,236184
136,2020-06-06,246622
137,2020-06-07,257486
138,2020-06-08,265928
139,2020-06-09,276146
140,2020-06-10,286605
141,2020-06-11,297535
142,2020-06-12,308993
143,2020-06-13,320922
144,2020-06-14,332424
145,2020-06-15,343091
146,2020-06-16,354065
147,2020-06-17,366946
148,2020-06-18,380532
149,2020-06-19,395048
150,2020-06-20,410451
151,2020-06-21,425282
152,2020-06-22,440215
153,2020-06-23,456183
154,2020-06-24,473105
155,2020-06-25,490401
156,2020-06-26,508953
157,2020-06-27,528859
158,2020-06-28,548318
159,2020-06-29,566840
160,2020-06-30,585481
161,2020-07-01,604641
162,2020-07-02,625544
163,2020-07-03,648315
164,2020-07-04,673165
165,2020-07-05,697413
166,2020-07-06,719664
167,2020-07-07,742417
168,2020-07-08,767296
169,2020-07-09,793802
170,2020-07-10,820916
171,2020-07-11,849522
172,2020-07-12,878254
173,2020-07-13,906752
174,2020-07-14,936181
175,2020-07-15,968857
176,2020-07-16,1003832
177,2020-07-17,1039084
178,2020-07-18,1077781
179,2020-07-19,1118206
180,2020-07-20,1155338
181,2020-07-21,1193078
182,2020-07-22,1238798
183,2020-07-23,1288108
184,2020-07-24,1337024
185,2020-07-25,1385635
186,2020-07-26,1435616
